GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
CCNG2	TP53BP1	0.015508972097591367	Co-expression	Boldrick-Relman-2002
CD79A	472	0.0025669443067379127	Co-expression	Boldrick-Relman-2002
CD79A	CDKN1B	0.0038224590596662084	Co-expression	Boldrick-Relman-2002
CD79A	FOXO1	0.0030605943059818243	Co-expression	Boldrick-Relman-2002
CD79A	PIK3R1	0.006144097859403206	Co-expression	Boldrick-Relman-2002
CD79B	472	0.0032563548330119345	Co-expression	Boldrick-Relman-2002
CD79B	CD79A	0.0026725516978518657	Co-expression	Boldrick-Relman-2002
CD79B	CDKN1B	0.005291544461341376	Co-expression	Boldrick-Relman-2002
CD79B	FOXO1	0.0035237669987799353	Co-expression	Boldrick-Relman-2002
CD79B	XRCC4	0.004869022893229218	Co-expression	Boldrick-Relman-2002
CD82	BCL2L1	0.008147666538767412	Co-expression	Boldrick-Relman-2002
CD82	CCNB2	0.011643120002074297	Co-expression	Boldrick-Relman-2002
CD82	PCNA	0.004373759459901972	Co-expression	Boldrick-Relman-2002
CD82	RPS6KA1	0.010568815886589308	Co-expression	Boldrick-Relman-2002
CD82	TNFRSF10B	0.003967971772933182	Co-expression	Boldrick-Relman-2002
CDC25A	5888	0.012176565963813779	Co-expression	Boldrick-Relman-2002
CDC25A	CCNB1	0.004439613183241496	Co-expression	Boldrick-Relman-2002
CDC25B	472	0.004001618824396382	Co-expression	Boldrick-Relman-2002
CDC25B	LIG1	0.010572021523142974	Co-expression	Boldrick-Relman-2002
CDC25C	CCNB1	0.004660060347028241	Co-expression	Boldrick-Relman-2002
CDC25C	CCNE1	0.017442436012879304	Co-expression	Boldrick-Relman-2002
CDC25C	CDKN2A	0.008049236106867806	Co-expression	Boldrick-Relman-2002
CDC25C	PCNA	0.006169870341510545	Co-expression	Boldrick-Relman-2002
CDC37	6794	0.013166142463029107	Co-expression	Boldrick-Relman-2002
CDC37	CCNB1	0.0033410629027172453	Co-expression	Boldrick-Relman-2002
CDC37	TGFB3	0.010393983326794908	Co-expression	Boldrick-Relman-2002
CDC37	TNFRSF10B	0.004115703358263794	Co-expression	Boldrick-Relman-2002
CDK1	6794	0.007128615842568225	Co-expression	Boldrick-Relman-2002
CDK1	CDK2	0.005864931805275009	Co-expression	Boldrick-Relman-2002
CDK1	CHEK1	0.0072678076013355615	Co-expression	Boldrick-Relman-2002
CDK1	MAPK8	0.006927015947942934	Co-expression	Boldrick-Relman-2002
CDK1	PRKDC	0.005413158466600924	Co-expression	Boldrick-Relman-2002
CDK1	RPA3	0.006189569908279674	Co-expression	Boldrick-Relman-2002
CDK2	675	0.0107190703267602	Co-expression	Boldrick-Relman-2002
CDK2	PRKDC	0.009465470968633496	Co-expression	Boldrick-Relman-2002
CDK4	675	0.0030348245199523266	Co-expression	Boldrick-Relman-2002
CDK4	7157	0.003896345072915327	Co-expression	Boldrick-Relman-2002
CDK4	CCNB1	0.0015472797473151667	Co-expression	Boldrick-Relman-2002
CDK4	CDK1	0.002434305870679187	Co-expression	Boldrick-Relman-2002
CDK4	CDK2	0.004074450334199702	Co-expression	Boldrick-Relman-2002
CDK4	EWSR1	0.004073516480237317	Co-expression	Boldrick-Relman-2002
CDK4	FANCF	0.003405722937592399	Co-expression	Boldrick-Relman-2002
CDK4	GADD45A	0.0038038908345613613	Co-expression	Boldrick-Relman-2002
CDKN1B	472	0.005162635206452182	Co-expression	Boldrick-Relman-2002
CDKN1B	CDC25B	0.009969602476001234	Co-expression	Boldrick-Relman-2002
CDKN1B	DDB2	0.01006350417114641	Co-expression	Boldrick-Relman-2002
CDKN2D	CCNE1	0.012090509855187666	Co-expression	Boldrick-Relman-2002
CDKN2D	H2AFX	0.010054915141162525	Co-expression	Boldrick-Relman-2002
CDKN2D	PCNA	0.004960279399002051	Co-expression	Boldrick-Relman-2002
CREBBP	7157	0.01934250226390439	Co-expression	Boldrick-Relman-2002
CREBBP	CDKN2A	0.006139097983045953	Co-expression	Boldrick-Relman-2002
CSF2RB	GTSE1	0.008084434077109386	Co-expression	Boldrick-Relman-2002
DDB2	ATG13	0.011447488549770854	Co-expression	Boldrick-Relman-2002
DDB2	CDC25B	0.010492278954802434	Co-expression	Boldrick-Relman-2002
DDB2	FANCL	0.007802077888875113	Co-expression	Boldrick-Relman-2002
ETV4	675	0.005583202118129178	Co-expression	Boldrick-Relman-2002
ETV4	CCNB1	0.002652377115868019	Co-expression	Boldrick-Relman-2002
ETV4	CCND1	0.006569533550652405	Co-expression	Boldrick-Relman-2002
ETV4	CDK4	0.0034190631307526487	Co-expression	Boldrick-Relman-2002
ETV4	FANCF	0.006286304507216914	Co-expression	Boldrick-Relman-2002
FADD	BCAP31	0.002004243204339202	Co-expression	Boldrick-Relman-2002
FANCC	FANCG	0.012636582897498295	Co-expression	Boldrick-Relman-2002
FANCF	CHEK1	0.01069439043019817	Co-expression	Boldrick-Relman-2002
FANCI	RAD51B	0.013083715275177791	Co-expression	Boldrick-Relman-2002
FANCL	5290	0.010252137953411974	Co-expression	Boldrick-Relman-2002
FANCL	PIK3R1	0.010971952992030075	Co-expression	Boldrick-Relman-2002
FAS	RELA	0.011939673736222449	Co-expression	Boldrick-Relman-2002
FOXO1	472	0.003398816260181674	Co-expression	Boldrick-Relman-2002
FOXO1	5290	0.007592022420119095	Co-expression	Boldrick-Relman-2002
FOXO1	PIK3R1	0.008969250427672482	Co-expression	Boldrick-Relman-2002
GTSE1	POU2F1	0.008433817456563741	Co-expression	Boldrick-Relman-2002
H2AFX	580	0.010277030840123491	Co-expression	Boldrick-Relman-2002
H2AFX	5888	0.007623998577339962	Co-expression	Boldrick-Relman-2002
HSPA1L	CDKN1A	0.00869131917719574	Co-expression	Boldrick-Relman-2002
IGF1	CDKN2A	0.003431477221174308	Co-expression	Boldrick-Relman-2002
LIG4	5290	0.019845187325510105	Co-expression	Boldrick-Relman-2002
LIG4	8202	0.010800129929126361	Co-expression	Boldrick-Relman-2002
LIG4	ATR	0.011862161498276376	Co-expression	Boldrick-Relman-2002
MDM2	RAD50	0.006738628856799877	Co-expression	Boldrick-Relman-2002
MYC	CDK4	0.002427969919246556	Co-expression	Boldrick-Relman-2002
MYC	PMAIP1	0.007621785097432007	Co-expression	Boldrick-Relman-2002
NFKB1	RELA	0.017630645162884817	Co-expression	Boldrick-Relman-2002
PCNA	580	0.004521692240041514	Co-expression	Boldrick-Relman-2002
PCNA	5888	0.004503617734191411	Co-expression	Boldrick-Relman-2002
PCNA	H2AFX	0.004077263017407955	Co-expression	Boldrick-Relman-2002
PDGFRB	JUN	0.010571872564842226	Co-expression	Boldrick-Relman-2002
PIK3CG	672	0.0089961296497338	Co-expression	Boldrick-Relman-2002
PIK3R1	472	0.006601980173456631	Co-expression	Boldrick-Relman-2002
PLK1	672	0.0037784472739506975	Co-expression	Boldrick-Relman-2002
PLK1	CCNB1	0.0016793656559212287	Co-expression	Boldrick-Relman-2002
PLK1	CDC25A	0.0053535788534085395	Co-expression	Boldrick-Relman-2002
PLK1	CDK1	0.0026219569325714874	Co-expression	Boldrick-Relman-2002
PLK1	CHEK1	0.004054659437793689	Co-expression	Boldrick-Relman-2002
PLK1	FANCC	0.0036715616049300946	Co-expression	Boldrick-Relman-2002
PLK1	FANCG	0.004676914540645289	Co-expression	Boldrick-Relman-2002
PLK1	PCNA	0.0019889414460443214	Co-expression	Boldrick-Relman-2002
PLK1	PRKDC	0.004060339736796216	Co-expression	Boldrick-Relman-2002
PLK1	RPA3	0.004755750552811589	Co-expression	Boldrick-Relman-2002
PMAIP1	CDKN1A	0.006260183557048548	Co-expression	Boldrick-Relman-2002
PMAIP1	NFKB1	0.013349757496392526	Co-expression	Boldrick-Relman-2002
PMAIP1	RELA	0.014145775827164602	Co-expression	Boldrick-Relman-2002
PML	TREX1	0.010110670030926866	Co-expression	Boldrick-Relman-2002
POLQ	5888	0.013040777539472428	Co-expression	Boldrick-Relman-2002
POLQ	CCNB1	0.004504005632390872	Co-expression	Boldrick-Relman-2002
POLQ	CCNE2	0.011220609555283236	Co-expression	Boldrick-Relman-2002
POLQ	PCNA	0.005705573384252486	Co-expression	Boldrick-Relman-2002
POLQ	PLK1	0.00526880439278638	Co-expression	Boldrick-Relman-2002
POLQ	PRKDC	0.01155577651627882	Co-expression	Boldrick-Relman-2002
PPP2CA	5728	0.0069352295490873765	Co-expression	Boldrick-Relman-2002
PPP2CA	BCL2L1	0.005226835223045612	Co-expression	Boldrick-Relman-2002
PPP2CA	EWSR1	0.006727847915530768	Co-expression	Boldrick-Relman-2002
PPP2CA	HSPA1L	0.006640604184615431	Co-expression	Boldrick-Relman-2002
PPP2CA	PMAIP1	0.005848499210830442	Co-expression	Boldrick-Relman-2002
PRKDC	7157	0.009392053398909358	Co-expression	Boldrick-Relman-2002
PTK2B	CDKN2D	0.016175190456757332	Co-expression	Boldrick-Relman-2002
RAD51B	CDK2	0.016213201110207163	Co-expression	Boldrick-Relman-2002
RELA	NFKBIA	0.012625546502853694	Co-expression	Boldrick-Relman-2002
RNF8	LIG1	0.008295447327518633	Co-expression	Boldrick-Relman-2002
RPA3	FANCG	0.011566744160938459	Co-expression	Boldrick-Relman-2002
RPS6KA1	580	0.010969343862698863	Co-expression	Boldrick-Relman-2002
RPS6KA1	CDKN2D	0.010899913118082994	Co-expression	Boldrick-Relman-2002
RPS6KA1	H2AFX	0.008057252894329809	Co-expression	Boldrick-Relman-2002
RPS6KB1	CDK4	0.005304302638697569	Co-expression	Boldrick-Relman-2002
RPS6KB1	CREBBP	0.021248631993995237	Co-expression	Boldrick-Relman-2002
RRM2	CCNB1	0.0033589628375271055	Co-expression	Boldrick-Relman-2002
RRM2	CCNG1	0.008087984137607317	Co-expression	Boldrick-Relman-2002
RRM2	CDK1	0.005423161252403	Co-expression	Boldrick-Relman-2002
RRM2	CHEK1	0.009512355762298965	Co-expression	Boldrick-Relman-2002
RRM2	PLK1	0.003919337898767973	Co-expression	Boldrick-Relman-2002
RRM2B	RFWD2	0.01587301809638728	Co-expression	Boldrick-Relman-2002
SFN	APAF1	0.012258452588057852	Co-expression	Boldrick-Relman-2002
SFN	TNFRSF10B	0.0040315712381873954	Co-expression	Boldrick-Relman-2002
SLC9A3R2	CDKN2A	0.005278527123502659	Co-expression	Boldrick-Relman-2002
SMAD1	472	0.005345048126107979	Co-expression	Boldrick-Relman-2002
SMAD1	CD79B	0.005328256279291017	Co-expression	Boldrick-Relman-2002
SMAD1	CDC25B	0.009750069619612525	Co-expression	Boldrick-Relman-2002
SMAD1	CDKN1B	0.012950426578844643	Co-expression	Boldrick-Relman-2002
SMAD5	675	0.008167387000139813	Co-expression	Boldrick-Relman-2002
SMAD5	CDK6	0.009172319010701988	Co-expression	Boldrick-Relman-2002
SMAD5	MDM4	0.010701650967825606	Co-expression	Boldrick-Relman-2002
STAT1	8202	0.008611821277919327	Co-expression	Boldrick-Relman-2002
STAT1	FAS	0.008333240946702217	Co-expression	Boldrick-Relman-2002
STAT1	LIG4	0.00817814637278619	Co-expression	Boldrick-Relman-2002
STAT1	PML	0.00925856047467971	Co-expression	Boldrick-Relman-2002
TGFB1	TNFRSF10B	0.004988226604898374	Co-expression	Boldrick-Relman-2002
TGFB3	CCNG1	0.00950751832463167	Co-expression	Boldrick-Relman-2002
TGFBR3	472	0.004199021599841758	Co-expression	Boldrick-Relman-2002
TGFBR3	CD79A	0.003391825667348129	Co-expression	Boldrick-Relman-2002
TGFBR3	FOXO1	0.00520840921604691	Co-expression	Boldrick-Relman-2002
TGFBR3	PIK3R1	0.01095009184485144	Co-expression	Boldrick-Relman-2002
THBS1	472	0.005099732003300562	Co-expression	Boldrick-Relman-2002
TMF1	SMAD4	0.017471960761322694	Co-expression	Boldrick-Relman-2002
TNFAIP3	NFKBIA	0.011476559009097933	Co-expression	Boldrick-Relman-2002
TNFAIP3	RELA	0.012986992134571376	Co-expression	Boldrick-Relman-2002
TNFRSF10B	CCNE1	0.0050151088600472625	Co-expression	Boldrick-Relman-2002
TNFRSF10B	CCNG1	0.003812701953957449	Co-expression	Boldrick-Relman-2002
TNFRSF10B	GADD45A	0.0034848427119515283	Co-expression	Boldrick-Relman-2002
TNFRSF10B	MAPK8	0.005256924799796818	Co-expression	Boldrick-Relman-2002
TNFRSF10B	PCNA	0.002179705972329077	Co-expression	Boldrick-Relman-2002
TNFRSF10B	PLK1	0.001958718918954552	Co-expression	Boldrick-Relman-2002
TP53I3	CDK4	0.0037018756301616133	Co-expression	Boldrick-Relman-2002
TP53I3	GADD45A	0.008285260197394138	Co-expression	Boldrick-Relman-2002
USP7	CCNB3	0.017183640848902795	Co-expression	Boldrick-Relman-2002
WEE1	5888	0.010503968474304163	Co-expression	Boldrick-Relman-2002
WEE1	672	0.012129570630956803	Co-expression	Boldrick-Relman-2002
672	580	0.009404401594429068	Co-expression	Burington-Shaughnessy-2008
672	5888	0.01675160275756729	Co-expression	Burington-Shaughnessy-2008
672	675	0.011134650392069886	Co-expression	Burington-Shaughnessy-2008
675	580	0.010175874426043249	Co-expression	Burington-Shaughnessy-2008
7157	6794	0.01608173480031266	Co-expression	Burington-Shaughnessy-2008
AKT1	CCND1	0.009475988490906074	Co-expression	Burington-Shaughnessy-2008
ATG13	RELA	0.015151722581947488	Co-expression	Burington-Shaughnessy-2008
BAG1	CDC37	0.00858971640527112	Co-expression	Burington-Shaughnessy-2008
BAX	BBC3	0.022285991929128973	Co-expression	Burington-Shaughnessy-2008
BBC3	CEBPB	0.015910823262810608	Co-expression	Burington-Shaughnessy-2008
BBC3	TNFRSF10B	0.025162266845916038	Co-expression	Burington-Shaughnessy-2008
BCL2	BBC3	0.02594820968370386	Co-expression	Burington-Shaughnessy-2008
BCL2	NFKBIA	0.0221644711830136	Co-expression	Burington-Shaughnessy-2008
BID	RBBP8	0.011176340556315287	Co-expression	Burington-Shaughnessy-2008
BLM	CCNB1	0.007216237520443679	Co-expression	Burington-Shaughnessy-2008
BLM	CCNB2	0.010756455659525528	Co-expression	Burington-Shaughnessy-2008
BLM	CDC25A	0.024549126570236536	Co-expression	Burington-Shaughnessy-2008
BLM	CHEK1	0.013017229576488298	Co-expression	Burington-Shaughnessy-2008
BLM	FANCI	0.015818639888738883	Co-expression	Burington-Shaughnessy-2008
BLM	H2AFX	0.014217342463535395	Co-expression	Burington-Shaughnessy-2008
CASP3	RPA3	0.02034299878779842	Co-expression	Burington-Shaughnessy-2008
CCNB1	11200	0.007716018206848457	Co-expression	Burington-Shaughnessy-2008
CCNB1	CDK1	0.005488307163800477	Co-expression	Burington-Shaughnessy-2008
CCNB1	CDKN2A	0.004201116210626634	Co-expression	Burington-Shaughnessy-2008
CCNB1	CHEK1	0.00544496184358908	Co-expression	Burington-Shaughnessy-2008
CCNB1	CSTF1	0.007082513756165953	Co-expression	Burington-Shaughnessy-2008
CCNB1	FANCG	0.008222023176291875	Co-expression	Burington-Shaughnessy-2008
CCNB1	H2AFX	0.006494782595326714	Co-expression	Burington-Shaughnessy-2008
CCNB1	MRE11A	0.008758549445899896	Co-expression	Burington-Shaughnessy-2008
CCNB1	PRKDC	0.004396814078060228	Co-expression	Burington-Shaughnessy-2008
CCNB1	RAD1	0.004881806870534272	Co-expression	Burington-Shaughnessy-2008
CCNB1	RBBP8	0.003511292390928788	Co-expression	Burington-Shaughnessy-2008
CCNB1	RPA3	0.006429896813523985	Co-expression	Burington-Shaughnessy-2008
CCNB1	TOPBP1	0.004767520618070211	Co-expression	Burington-Shaughnessy-2008
CCNB2	CCNB1	0.005439439053245168	Co-expression	Burington-Shaughnessy-2008
CCNB2	CCNE2	0.008887454969141489	Co-expression	Burington-Shaughnessy-2008
CCNB2	CDC25A	0.0115246609717904	Co-expression	Burington-Shaughnessy-2008
CCNB2	CDC25C	0.009603277065844781	Co-expression	Burington-Shaughnessy-2008
CCNB2	CDK1	0.007407730252475205	Co-expression	Burington-Shaughnessy-2008
CCNB2	CHEK1	0.0066607653442873616	Co-expression	Burington-Shaughnessy-2008
CCNB2	FANCG	0.009872095994788188	Co-expression	Burington-Shaughnessy-2008
CCNB2	H2AFX	0.008637809154983016	Co-expression	Burington-Shaughnessy-2008
CCNB2	PLK1	0.007461422717292746	Co-expression	Burington-Shaughnessy-2008
CCNB2	RAD1	0.007235321993450196	Co-expression	Burington-Shaughnessy-2008
CCNB2	TOPBP1	0.00753174723258054	Co-expression	Burington-Shaughnessy-2008
CCND1	POU2F1	0.007007011338373267	Co-expression	Burington-Shaughnessy-2008
CCND3	NFKBIA	0.017729653725480493	Co-expression	Burington-Shaughnessy-2008
CCND3	PTK2B	0.013220973213619942	Co-expression	Burington-Shaughnessy-2008
CCNE1	RPA2	0.01717048712301903	Co-expression	Burington-Shaughnessy-2008
CCNE2	CCNB1	0.006564604807203469	Co-expression	Burington-Shaughnessy-2008
CCNE2	CDK1	0.009697501238562176	Co-expression	Burington-Shaughnessy-2008
CCNG1	RAD50	0.017110709960492083	Co-expression	Burington-Shaughnessy-2008
CCNG2	5290	0.01972656959647827	Co-expression	Burington-Shaughnessy-2008
CCNG2	RCHY1	0.01588731587072229	Co-expression	Burington-Shaughnessy-2008
CD79A	GADD45A	0.01818125403926597	Co-expression	Burington-Shaughnessy-2008
CD79A	POU2F1	0.01335247074472703	Co-expression	Burington-Shaughnessy-2008
CD79B	CCND1	0.0074915349407442995	Co-expression	Burington-Shaughnessy-2008
CD79B	CD79A	0.016095547634680782	Co-expression	Burington-Shaughnessy-2008
CD79B	FOXO1	0.009910833470828322	Co-expression	Burington-Shaughnessy-2008
CD79B	TP53I3	0.014862609780101203	Co-expression	Burington-Shaughnessy-2008
CDC25A	672	0.01699127993770218	Co-expression	Burington-Shaughnessy-2008
CDC25A	CCNB1	0.008678417278209094	Co-expression	Burington-Shaughnessy-2008
CDC25A	CDK1	0.013424533453968652	Co-expression	Burington-Shaughnessy-2008
CDC25A	H2AFX	0.015202170961449093	Co-expression	Burington-Shaughnessy-2008
CDC25B	MDC1	0.009630939413937617	Co-expression	Burington-Shaughnessy-2008
CDC25B	PLK1	0.0075644188600250675	Co-expression	Burington-Shaughnessy-2008
CDC25C	5888	0.02206504567375794	Co-expression	Burington-Shaughnessy-2008
CDC25C	CCNB1	0.007384310483294288	Co-expression	Burington-Shaughnessy-2008
CDC25C	CDK1	0.011060533638859383	Co-expression	Burington-Shaughnessy-2008
CDC25C	CHEK1	0.011202131238351159	Co-expression	Burington-Shaughnessy-2008
CDC25C	FANCC	0.020813621423458422	Co-expression	Burington-Shaughnessy-2008
CDC25C	RBBP8	0.009983965994637068	Co-expression	Burington-Shaughnessy-2008
CDC34	6794	0.01906960360290318	Co-expression	Burington-Shaughnessy-2008
CDC37	6794	0.00827769174144555	Co-expression	Burington-Shaughnessy-2008
CDC37	CDC34	0.011174910061408387	Co-expression	Burington-Shaughnessy-2008
CDC37	EWSR1	0.009669798135628689	Co-expression	Burington-Shaughnessy-2008
CDC37	RAD9A	0.01017801711179055	Co-expression	Burington-Shaughnessy-2008
CDK1	580	0.006336372605194796	Co-expression	Burington-Shaughnessy-2008
CDK1	5888	0.012494929802881022	Co-expression	Burington-Shaughnessy-2008
CDK1	672	0.008992060418644074	Co-expression	Burington-Shaughnessy-2008
CDK1	CDK2	0.012200493399974515	Co-expression	Burington-Shaughnessy-2008
CDK1	H2AFX	0.009614137212007637	Co-expression	Burington-Shaughnessy-2008
CDK1	PCNA	0.007908462564409215	Co-expression	Burington-Shaughnessy-2008
CDK2	580	0.013767709589682412	Co-expression	Burington-Shaughnessy-2008
CDK2	672	0.018003283763362916	Co-expression	Burington-Shaughnessy-2008
CDK4	PRKDC	0.008030370481510788	Co-expression	Burington-Shaughnessy-2008
CDK4	RPA3	0.014062401729214013	Co-expression	Burington-Shaughnessy-2008
CDKN1A	NFKBIA	0.021992872926446555	Co-expression	Burington-Shaughnessy-2008
CDKN2A	CCNE1	0.012997002949072496	Co-expression	Burington-Shaughnessy-2008
CENPC	CCNG2	0.02673779192876195	Co-expression	Burington-Shaughnessy-2008
CENPC	RCHY1	0.02008243882731323	Co-expression	Burington-Shaughnessy-2008
CENPC	UBE2D3	0.02345976190604936	Co-expression	Burington-Shaughnessy-2008
CHEK1	580	0.006749396424560719	Co-expression	Burington-Shaughnessy-2008
CHEK1	672	0.009655634809630954	Co-expression	Burington-Shaughnessy-2008
CHEK1	675	0.009242571254295395	Co-expression	Burington-Shaughnessy-2008
CHEK1	MRE11A	0.015131990106974599	Co-expression	Burington-Shaughnessy-2008
CREBBP	5290	0.01225291635150573	Co-expression	Burington-Shaughnessy-2008
CREBBP	CENPC	0.014583055007258929	Co-expression	Burington-Shaughnessy-2008
CREBBP	UBE2D3	0.011933590967412786	Co-expression	Burington-Shaughnessy-2008
CSF2RB	BCL2L1	0.017142044319727705	Co-expression	Burington-Shaughnessy-2008
CSF2RB	TNFAIP3	0.0137613059853449	Co-expression	Burington-Shaughnessy-2008
CSTF1	CHEK1	0.010735523973366442	Co-expression	Burington-Shaughnessy-2008
CSTF1	PCNA	0.011392685590176662	Co-expression	Burington-Shaughnessy-2008
CYCS	HSPA9	0.018440228636449785	Co-expression	Burington-Shaughnessy-2008
CYCS	PPP2CA	0.014077617548971598	Co-expression	Burington-Shaughnessy-2008
DAXX	TP53BP1	0.021244106654301875	Co-expression	Burington-Shaughnessy-2008
DDB2	LIG1	0.0170178419050974	Co-expression	Burington-Shaughnessy-2008
DDB2	TNFRSF10B	0.027001710088116904	Co-expression	Burington-Shaughnessy-2008
DDB2	TOPBP1	0.01022537729324172	Co-expression	Burington-Shaughnessy-2008
DMC1	CHEK1	0.012196952823192834	Co-expression	Burington-Shaughnessy-2008
DMC1	H2AFX	0.016443777370635442	Co-expression	Burington-Shaughnessy-2008
DMC1	PLK1	0.011731559033588542	Co-expression	Burington-Shaughnessy-2008
DNAJA1	STAT1	0.02150179136077904	Co-expression	Burington-Shaughnessy-2008
EP300	580	0.008859973980089558	Co-expression	Burington-Shaughnessy-2008
EWSR1	11200	0.020256386600443883	Co-expression	Burington-Shaughnessy-2008
EWSR1	MDC1	0.01232268761983167	Co-expression	Burington-Shaughnessy-2008
FADD	CSTF1	0.02195750791347041	Co-expression	Burington-Shaughnessy-2008
FADD	PCNA	0.011659745947745917	Co-expression	Burington-Shaughnessy-2008
FANCC	580	0.011638963016755214	Co-expression	Burington-Shaughnessy-2008
FANCG	11200	0.023942013935489524	Co-expression	Burington-Shaughnessy-2008
FANCI	11200	0.01510787546776056	Co-expression	Burington-Shaughnessy-2008
FANCI	CCNB1	0.006473971645383061	Co-expression	Burington-Shaughnessy-2008
FANCI	CCNB2	0.00937803525026898	Co-expression	Burington-Shaughnessy-2008
FANCI	CDC25C	0.01435361544309593	Co-expression	Burington-Shaughnessy-2008
FANCI	CDK2	0.01679506371963904	Co-expression	Burington-Shaughnessy-2008
FANCI	CHEK1	0.009795364818549833	Co-expression	Burington-Shaughnessy-2008
FANCI	DDB2	0.012359031767854488	Co-expression	Burington-Shaughnessy-2008
FANCI	FANCG	0.015116329040582889	Co-expression	Burington-Shaughnessy-2008
FANCI	H2AFX	0.01126628750850621	Co-expression	Burington-Shaughnessy-2008
FANCI	RPA3	0.013637403118793391	Co-expression	Burington-Shaughnessy-2008
FANCI	TOPBP1	0.011218695024463321	Co-expression	Burington-Shaughnessy-2008
FANCL	580	0.00675905073687577	Co-expression	Burington-Shaughnessy-2008
FANCL	CHEK1	0.006282569083436478	Co-expression	Burington-Shaughnessy-2008
FANCL	PCNA	0.006910419309413966	Co-expression	Burington-Shaughnessy-2008
FANCL	TOPBP1	0.007375421852547994	Co-expression	Burington-Shaughnessy-2008
FANCL	XRCC5	0.015376121791192798	Co-expression	Burington-Shaughnessy-2008
GSK3B	TOPBP1	0.011394415633162357	Co-expression	Burington-Shaughnessy-2008
GTSE1	CCNB1	0.0077382387648431755	Co-expression	Burington-Shaughnessy-2008
GTSE1	CCNB2	0.00921861250234685	Co-expression	Burington-Shaughnessy-2008
GTSE1	CDK1	0.0105081557739796	Co-expression	Burington-Shaughnessy-2008
GTSE1	PLK1	0.010941204484300093	Co-expression	Burington-Shaughnessy-2008
GTSE1	UBE2L3	0.01611091119073573	Co-expression	Burington-Shaughnessy-2008
H2AFX	CHEK1	0.009485452783776584	Co-expression	Burington-Shaughnessy-2008
H2AFX	FANCG	0.014221375155017951	Co-expression	Burington-Shaughnessy-2008
HSPA1L	YWHAH	0.017131523457613276	Co-expression	Burington-Shaughnessy-2008
IGF1	8202	0.01923576516372719	Co-expression	Burington-Shaughnessy-2008
IGF1	CCND3	0.025443793134174872	Co-expression	Burington-Shaughnessy-2008
